Study,Site,ID,Method,Vol_per_ha,Tree_extacted_per_ha,Damage_no_ha,Damage_prop,Region,Plot_size,Replicates
Medjibe et al 2013,Medjibe et al 2013-1,26,RIL,5.7,0.39,3.549,0.011674342,Africa,1,20
Medjibe et al 2013,Medjibe et al 2013-2,27,Conventional,11.4,0.76,15.884,0.041043928,Africa,1,12
Miller et al 2011,Miller et al 2011-1,28,RIL,,3.6,54,,Americas,1,18
Nicholson et al 1979,Nicholson et al 1979-1,29,Conventional,37.9,4.7,,0.437,Asia,,
Nicholson et al 1979,Nicholson et al 1979-2,30,Conventional,,18.3,,0.536,Asia,,
Parren et al 2001,Parren et al 2001-1,31,RIL,13,1,23.6875,,Africa,1,16
Parren et al 2001,Parren et al 2001-2,32,Conventional,13,1,18.83333333,,Africa,1,12
Pinard and Putz 1996,Pinard and Putz 1996-1,33,Conventional,153.5,,,0.59,Asia,0.16,
Pinard and Putz 1996,Pinard and Putz 1996-2,34,RIL,103.75,,,0.27,Asia,0.16,
Sist and Nguyen 2002,Sist and Nguyen 2002-1,35,Conventional,,5.7,,0.301,Asia,1,
Sist and Nguyen 2002,Sist and Nguyen 2002-2,36,Conventional,,8.3,,0.435,Asia,1,
Sist and Nguyen 2002,Sist and Nguyen 2002-3,37,Conventional,,13.9,,0.584,Asia,1,
Sist et al 2003,Sist et al 2003-1,38,Conventional,45,5,95,0.313605,Asia,1,1
Sist et al 2003,Sist et al 2003-1,39,Conventional,54,6,95.1699475,0.388925,Asia,1,1
Sist et al 2003,Sist et al 2003-1,40,Conventional,45,5,124.1943039,0.507537,Asia,1,1
Sist et al 2003,Sist et al 2003-1,41,Conventional,45,5,131.907982,0.53906,Asia,1,1
Sist et al 2003,Sist et al 2003-1,42,Conventional,54,6,140.8466283,0.575589,Asia,1,1
Sist et al 2003,Sist et al 2003-1,43,Conventional,63,7,129.0244372,0.527276,Asia,1,1
Sist et al 2003,Sist et al 2003-1,44,Conventional,99,11,144.6179447,0.591001,Asia,1,1
Sist et al 2003,Sist et al 2003-1,45,Conventional,117,13,144.1099475,0.588925,Asia,1,1
Sist et al 2003,Sist et al 2003-2,46,RIL,32.1,3,36.7500694,0.153253,Asia,1,1
Sist et al 2003,Sist et al 2003-2,47,RIL,42.8,4,55.975315,0.233425,Asia,1,1
Sist et al 2003,Sist et al 2003-2,48,RIL,74.9,7,84.0052972,0.350314,Asia,1,1
Sist et al 2003,Sist et al 2003-2,49,RIL,74.9,7,96.7938312,0.403644,Asia,1,1
Sist et al 2003,Sist et al 2003-2,50,RIL,96.3,9,90.4810962,0.377319,Asia,1,1
Sist et al 2003,Sist et al 2003-2,51,RIL,107,10,77.1534918,0.321741,Asia,1,1
Sist et al 2003,Sist et al 2003-2,52,RIL,107,10,122.4975136,0.510832,Asia,1,1
Sist et al 2003,Sist et al 2003-2,53,RIL,107,10,162.609579,0.678105,Asia,1,1
Sist et al 2007,Sist et al 2007-1,54,RIL,20.4,6,32.942,0.182,Americas,1,1
Sist et al 2007,Sist et al 2007-1,55,RIL,10.2,3,41.064,0.232,Americas,1,1
Sist et al 2007,Sist et al 2007-1,56,RIL,34,10,43.976,0.239,Americas,1,1
Sist et al 2007,Sist et al 2007-1,57,RIL,20.4,6,52.983,0.261,Americas,1,1
Sist et al 2007,Sist et al 2007-1,58,RIL,23.8,7,65.965,0.395,Americas,1,1
Sist et al 2007,Sist et al 2007-1,59,RIL,20.4,6,45.936,0.264,Americas,1,1
Sist et al 2007,Sist et al 2007-1,60,RIL,27.2,8,39.928,0.217,Americas,1,1
Sist et al 2007,Sist et al 2007-1,61,RIL,6.8,2,10.075,0.065,Americas,1,1
Sist et al 2007,Sist et al 2007-1,62,RIL,20.4,6,38.055,0.215,Americas,1,1
Sist et al 2007,Sist et al 2007-1,63,RIL,30.6,9,66.976,0.322,Americas,1,1
Sist et al 2007,Sist et al 2007-1,64,RIL,13.6,4,11.999,0.071,Americas,1,1
Sist et al 2007,Sist et al 2007-1,65,RIL,20.4,6,38.01,0.21,Americas,1,1
Sist et al 2007,Sist et al 2007-1,66,RIL,17,5,32.025,0.183,Americas,1,1
Sist et al 2007,Sist et al 2007-1,67,RIL,30.6,9,44.982,0.238,Americas,1,1
Sist et al 2007,Sist et al 2007-1,68,RIL,20.4,6,38.088,0.207,Americas,1,1
Sist et al 2007,Sist et al 2007-1,69,RIL,23.8,7,26.068,0.133,Americas,1,1
Sist et al 2007,Sist et al 2007-1,70,RIL,37.4,11,24.948,0.126,Americas,1,1
Sist et al 2007,Sist et al 2007-1,71,RIL,6.8,2,29.915,0.155,Americas,1,1
Uhl et al 1991,Uhl et al 1991-1,72,Conventional,16,2,58,0.117171717,Americas,0.1,
van de Hout 1999,van de Hout 1999-1,73,RIL,16,4,67,0.134,Americas,2,1
van de Hout 1999,van de Hout 1999-2,74,RIL,25.86666667,8,104,0.203921569,Americas,2,1
van de Hout 1999,van de Hout 1999-3,75,RIL,46.93333333,16,145,0.324384787,Americas,2,1
van de Hout 1999,van de Hout 1999-4,76,Conventional,50.06666667,16,131,0.26252505,Americas,2,1
van de Hout 1999,van de Hout 1999-5,77,Conventional,25.06666667,8,163,0.358241758,Americas,2,1
Verissimo et al 1992,Verissimo et al 1992-1,78,Conventional,18,3,120,0.27,Americas,2,2
Verissimo et al 1992,Verissimo et al 1992-2,79,Conventional,35,7,133,0.35,Americas,2,2
Verissimo et al 1992,Verissimo et al 1992-3,80,Conventional,62,9,180,0.43,Americas,2,2
Webb et al 1997,Webb et al 1997-1,81,Conventional,14.62473968,2.0117,,0.046333,Americas,1,1
Webb et al 1997,Webb et al 1997-1,82,Conventional,28.91579365,3.9775,,0.086921,Americas,1,1
Webb et al 1997,Webb et al 1997-1,83,Conventional,29.06991429,3.9987,,0.128211,Americas,1,1
Webb et al 1997,Webb et al 1997-1,84,Conventional,36.30049841,4.9933,,0.143347,Americas,1,1
Webb et al 1997,Webb et al 1997-1,85,Conventional,43.21993333,5.9451,,0.086226,Americas,1,1
Webb et al 1997,Webb et al 1997-1,86,Conventional,57.64911429,7.9299,,0.215122,Americas,1,1
Webb et al 1997,Webb et al 1997-1,87,Conventional,65.3246127,8.9857,,0.408024,Americas,1,1
White 2009,White 2009-1,88,Conventional,,2,31,0.177,Africa,,
White 2009,White 2009-2,89,Conventional,,2,,0.108,Africa,,
Whitman et al 1997,Whitman et al 1997-1,90,Conventional,,0.5,,0.65,Americas,0.1,14
Whitmore et al 1989,Whitmore et al 1989-1,91,Conventional,,,,0.386,Americas,,
