,ID,Study,Site_ID,Method,Vol2,Tree_ex,Prop_dam,Region,Plot,Replicates
35,37,Sist and Nguyen 2002,Sist and Nguyen 2002-3,Conventional,NA,13.9,0.584,Asia,1,NA
36,38,Sist et al 2003,Sist et al 2003-1,Conventional,45.00,5.00,0.31,Asia,1,1
37,39,Sist et al 2003,Sist et al 2003-1,Conventional,54.00,6.00,0.39,Asia,1,1
38,40,Sist et al 2003,Sist et al 2003-1,Conventional,45.00,5.00,0.51,Asia,1,1
39,41,Sist et al 2003,Sist et al 2003-1,Conventional,45.00,5.00,0.54,Asia,1,1
40,42,Sist et al 2003,Sist et al 2003-1,Conventional,54.00,6.00,0.58,Asia,1,1
41,43,Sist et al 2003,Sist et al 2003-1,Conventional,63.00,7.00,0.53,Asia,1,1
42,44,Sist et al 2003,Sist et al 2003-1,Conventional,99.00,11.00,0.59,Asia,1,1
43,45,Sist et al 2003,Sist et al 2003-1,Conventional,117.00,13.00,0.59,Asia,1,1
44,46,Sist et al 2003,Sist et al 2003-2,RIL,32.10,3.00,0.15,Asia,1,1
45,47,Sist et al 2003,Sist et al 2003-2,RIL,42.80,4.00,0.23,Asia,1,1
46,48,Sist et al 2003,Sist et al 2003-2,RIL,74.90,7.00,0.35,Asia,1,1
47,49,Sist et al 2003,Sist et al 2003-2,RIL,74.90,7.00,0.40,Asia,1,1
48,50,Sist et al 2003,Sist et al 2003-2,RIL,96.30,9.00,0.38,Asia,1,1
49,51,Sist et al 2003,Sist et al 2003-2,RIL,107.00,10.00,0.32,Asia,1,1
50,52,Sist et al 2003,Sist et al 2003-2,RIL,107.00,10.00,0.51,Asia,1,1
51,53,Sist et al 2003,Sist et al 2003-2,RIL,107.00,10.00,0.68,Asia,1,1
52,54,Sist et al 2007,Sist et al 2007-1,RIL,20.40,6.00,0.18,Americas,1,1
53,55,Sist et al 2007,Sist et al 2007-1,RIL,10.20,3.00,0.23,Americas,1,1
54,56,Sist et al 2007,Sist et al 2007-1,RIL,34.00,10.00,0.24,Americas,1,1
55,57,Sist et al 2007,Sist et al 2007-1,RIL,20.40,6.00,0.26,Americas,1,1
56,58,Sist et al 2007,Sist et al 2007-1,RIL,23.80,7.00,0.40,Americas,1,1
57,59,Sist et al 2007,Sist et al 2007-1,RIL,20.40,6.00,0.26,Americas,1,1
58,60,Sist et al 2007,Sist et al 2007-1,RIL,27.20,8.00,0.22,Americas,1,1
59,61,Sist et al 2007,Sist et al 2007-1,RIL,6.80,2.00,0.07,Americas,1,1
60,62,Sist et al 2007,Sist et al 2007-1,RIL,20.40,6.00,0.22,Americas,1,1
61,63,Sist et al 2007,Sist et al 2007-1,RIL,30.60,9.00,0.32,Americas,1,1
62,64,Sist et al 2007,Sist et al 2007-1,RIL,13.60,4.00,0.07,Americas,1,1
63,65,Sist et al 2007,Sist et al 2007-1,RIL,20.40,6.00,0.21,Americas,1,1
64,66,Sist et al 2007,Sist et al 2007-1,RIL,17.00,5.00,0.18,Americas,1,1
65,67,Sist et al 2007,Sist et al 2007-1,RIL,30.60,9.00,0.24,Americas,1,1
66,68,Sist et al 2007,Sist et al 2007-1,RIL,20.40,6.00,0.21,Americas,1,1
67,69,Sist et al 2007,Sist et al 2007-1,RIL,23.80,7.00,0.13,Americas,1,1
68,70,Sist et al 2007,Sist et al 2007-1,RIL,37.40,11.00,0.13,Americas,1,1
69,71,Sist et al 2007,Sist et al 2007-1,RIL,6.80,2.00,0.16,Americas,1,1
70,72,Uhl et al 1991,Uhl et al 1991-1,Conventional,16.00,2.00,0.12,Americas,0.1,NA
71,73,van de Hout 1999,van de Hout 1999-1,RIL,16.00,4.00,0.13,Americas,2,1
72,74,van de Hout 1999,van de Hout 1999-2,RIL,25.87,8.00,0.20,Americas,2,1
73,75,van de Hout 1999,van de Hout 1999-3,RIL,46.93,16.00,0.32,Americas,2,1
74,76,van de Hout 1999,van de Hout 1999-4,Conventional,50.07,16.00,0.26,Americas,2,1
75,77,van de Hout 1999,van de Hout 1999-5,Conventional,25.07,8.00,0.36,Americas,2,1
76,78,Verissimo et al 1992,Verissimo et al 1992-1,Conventional,18.00,3.00,0.27,Americas,2,2
77,79,Verissimo et al 1992,Verissimo et al 1992-2,Conventional,35.00,7.00,0.35,Americas,2,2
78,80,Verissimo et al 1992,Verissimo et al 1992-3,Conventional,62.00,9.00,0.43,Americas,2,2
79,81,Webb et al 1997,Webb et al 1997-1,Conventional,14.62,2.01,0.05,Americas,1,1
80,82,Webb et al 1997,Webb et al 1997-1,Conventional,28.92,3.98,0.09,Americas,1,1
81,83,Webb et al 1997,Webb et al 1997-1,Conventional,29.07,4.00,0.13,Americas,1,1
82,84,Webb et al 1997,Webb et al 1997-1,Conventional,36.30,4.99,0.14,Americas,1,1
83,85,Webb et al 1997,Webb et al 1997-1,Conventional,43.22,5.95,0.09,Americas,1,1
84,86,Webb et al 1997,Webb et al 1997-1,Conventional,57.65,7.93,0.22,Americas,1,1
85,87,Webb et al 1997,Webb et al 1997-1,Conventional,65.32,8.99,0.41,Americas,1,1
86,88,White 2009,White 2009-1,Conventional,21.66,2.00,0.18,Africa,NA,NA
87,89,White 2009,White 2009-2,Conventional,21.66,2.00,0.11,Africa,NA,NA
88,90,Whitman et al 1997,Whitman et al 1997-1,Conventional,4.03,0.50,0.65,Americas,0.1,14
89,91,Whitmore et al 1989,Whitmore et al 1989-1,Conventional,NA,NA,0.386,Americas,NA,NA
